"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"DS3231M";;;
2;"SW1";"SW_SPST_EVQPE1";1;"SW_Push";;;
3;"R4,R3,R2";"R_0805_2012Metric";3;"NP";;;
4;"C2";"C_0805_2012Metric";1;"1u";;;
5;"J4";"PinSocket_1x08_P2.54mm_Vertical";1;"Conn_01x08_Female";;;
6;"J3";"PinSocket_1x12_P2.54mm_Vertical";1;"Conn_01x12_Female";;;
7;"R1";"R_0805_2012Metric";1;"10";;;
8;"L1";"L_0805_2012Metric";1;"27n";;;
9;"J2";"PinHeader_2x12_P2.54mm_Vertical";1;"NanoPi_GPIO";;;
10;"C1";"C_0805_2012Metric";1;"47p";;;
11;"BT1";"BatteryHolder_Seiko_MS621F";1;"Battery_Cell";;;
12;"J1";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"Conn_Coaxial";;;
13;"U1";"KH-1110";1;"KH-1110-UB8X";;;
